Car Name,CO2
Volkswagen  - Up! - base,14
Volkswagen  - Up! - Style Plus,84
Volkswagen  - Up! - E-Up! United,82
Volkswagen  - Up! - e-Up! United,83
Volkswagen  - Up! - eUp!,0
Volkswagen  - Up! - e-up! United,71
Volkswagen  - Up! - e-up! Style,85
Volkswagen  - Up! - E-UP Style,57
Volkswagen  - Up! - e-UP!,83
Volkswagen  - Up! - e-Up,84
Volkswagen  - Up! - e-up!,7
Volkswagen  - Up! - eUP max,85
Volkswagen  - Up! - E-UP,2
Volkswagen  - Up! - E-UP!,85
Volkswagen  - Up! - e-up,76
Volkswagen  - Up! - eUp,83
Volkswagen  - Up! - e-Up! United,63
Volkswagen  - Up! - Style,90
Volkswagen  - Up! - e,90
Volkswagen  - Up! - e-up!,89
Volkswagen  - Up! - e-Up!,58
Volkswagen  - Up! - e-Up,0
Dacia  - Spring - Essential,65
Dacia  - Spring - Comfort+,65
Dacia  - Spring - Spring Electric Comfort Plus,0
Volkswagen  - Up! - E-Up,98
Dacia  - Spring - Confort Plus,58
Volkswagen  - Up! - e-UP!,92
Volkswagen  - Up! - e up,52
Hyundai  - IONIQ - 28 kWh,47
Volkswagen  - Up! - E-UP,72
Hyundai  - IONIQ - IONIQ electric Premium vFL,50
Hyundai  - IONIQ - Style,51
Volkswagen  - Up! - VW e-up!,73
Hyundai  - IONIQ - Premium ,51
Hyundai  - IONIQ - Ioniq Electric,49
Dacia  - Spring - Furzmöhre,36
Hyundai  - IONIQ - Elektro,50
Hyundai  - IONIQ - ioniq blanche,53
Hyundai  - IONIQ - Facelift Premium,53
Hyundai  - IONIQ - Electric Style,54
Volkswagen  - Up! - e-UP!,0
Hyundai  - IONIQ - 28,54
Dacia  - Spring - Spring Electric Comfort Plus,63
Hyundai  - IONIQ - Elektro ,55
Volkswagen  - Up! - eUp United,75
Hyundai  - IONIQ - Ioniq Electric Creative Polar White,55
Hyundai  - IONIQ - Facelift Premium Vertex,56
Volkswagen  - Up! - e-up!,76
Hyundai  - IONIQ - Creative,56
Hyundai  - IONIQ - Ioniq Electric,58
Hyundai  - IONIQ - IONIQ Level 4,57
Hyundai  - IONIQ - Creative,58
Volkswagen  - Up! - E-UP,76
Hyundai  - IONIQ - vFl Premium,59
Hyundai  - IONIQ - IONIQ ELECTRIC,59
Volkswagen  - Up! - eUP,60
Hyundai  - IONIQ - Premium,60
Hyundai  - IONIQ - Vertex,0
Hyundai  - IONIQ - IONIQ Electric,61
Volkswagen  - Up! - e-up! UNITED,54
Hyundai  - IONIQ - Premium,61
Hyundai  - IONIQ - Ioniq Electric Creative - Conso ODB,57
