Car Name,CO2
Tesla Motors  - Model 3 - Model 3 sr,79
Tesla Motors  - Model 3 - Performance,79
Tesla Motors  - Model 3 - Model 3 Performance,79
Tesla Motors  - Model 3 - SR+,79
Tesla Motors  - Model 3 - LR,79
Fiat  - 500 - 500e,73
Tesla Motors  - Model 3 - Std RWD LFP,71
Tesla Motors  - Model 3 - Model 3 LR AWD 2021,77
Opel  - Corsa - Cosa-e Elegance,48
Tesla Motors  - Model 3 - M3 LR AWD,79
Renault  - ZOE - Zoe Intens,105
Tesla Motors  - Model 3 - Long Range,79
BMW  - i3 - i3s,3
Tesla Motors  - Model 3 - RWD,80
Tesla Motors  - Model 3 - Standard Range+,74
Opel  - Corsa - Corsa e,99
Tesla Motors  - Model 3 - Longrange Dual Motor,80
Tesla Motors  - Model 3 - SR+,77
Tesla Motors  - Model 3 - LR dual motor,0
Tesla Motors  - Model 3 - Model 3 2021 Long Range AWD ,79
Tesla Motors  - Model 3 - Standard Plus 2021 (LFP),80
Opel  - Corsa - Bluebird,111
Tesla Motors  - Model 3 - Model 3 2022,80
Tesla Motors  - Model 3 - LR AWD,80
Tesla Motors  - Model 3 - Long Range,81
Tesla Motors  - Model 3 - Model 3 long range ,63
Tesla Motors  - Model 3 - Model 3 SR+,80
Renault  - ZOE - ZOE R135 ZE50 / Riviera,74
Tesla Motors  - Model 3 - SR+,81
Tesla Motors  - Model 3 - SR+ MIC LFP,81
Tesla Motors  - Model 3 - SR+,80
Tesla Motors  - Model 3 - Long-Range Dual Motor,78
Tesla Motors  - Model 3 - Model 3 SR+ (2023),81
BMW  - i3 - 120Ah,86
Renault  - ZOE - ZE,0
Tesla Motors  - Model 3 - Long Range,77
Tesla Motors  - Model 3 - Model 3 SR+,80
Tesla Motors  - Model 3 - RWD,81
Tesla Motors  - Model 3 - AWD LR,81
Tesla Motors  - Model 3 - SR+,81
Tesla Motors  - Model 3 - Model 3 2022,81
Tesla Motors  - Model 3 - Model 3,81
Tesla Motors  - Model 3 - Model 3 Long Range Dual Motor +,80
Tesla Motors  - Model 3 - Standard,87
Tesla Motors  - Model 3 - MY2023 long range rwd,72
Tesla Motors  - Model 3 - Long Range,81
Tesla Motors  - Model 3 - LR AWD Wärmepumpe,82
"Tesla Motors  - Model 3 - Long Range, Dual Motor",82
Tesla Motors  - Model 3 - Long Range,43
Tesla Motors  - Model 3 - Model 3SR+,78
Peugeot  - 208 - e-208,89
Tesla Motors  - Model 3 - Model 3 LR,78
Tesla Motors  - Model 3 - Model 3 LR RWD,80
Tesla Motors  - Model 3 - Lang  Range,82
Tesla Motors  - Model 3 - SR+,82
Tesla Motors  - Model 3 - 3 Long Range Dual Motor,82
Tesla Motors  - Model 3 - SR+,82
Tesla Motors  - Model 3 - SR+,83
Tesla Motors  - Model 3 - Long Range AWD 2021 MIC,71
Tesla Motors  - Model 3 - Standard Range+,83
Tesla Motors  - Model 3 - M3 ,77
Tesla Motors  - Model 3 - Model 3 Long Range 2021,83
Tesla Motors  - Model 3 - TM3 LR AWD,78
Tesla Motors  - Model 3 - LR AWD,83
Tesla Motors  - Model 3 - Long Range,75
Tesla Motors  - Model 3 - SR+,82
Tesla Motors  - Model 3 - Model 3,78
Tesla Motors  - Model 3 - AWD Long Range,83
Tesla Motors  - Model 3 - 1480,71
Tesla Motors  - Model 3 - Model 3 SR+,83
Tesla Motors  - Model 3 - SR,84
Tesla Motors  - Model 3 - Model 3 SR+ (AAZ),77
Tesla Motors  - Model 3 - SR+,83
"Tesla Motors  - Model 3 - Model 3, 2022",83
Tesla Motors  - Model 3 - Perfomance,83
Tesla Motors  - Model 3 - SR+,80
Tesla Motors  - Model 3 - 2023 RWD 60kWh LFP,0
Tesla Motors  - Model 3 - Long Range AWD,84
Tesla Motors  - Model 3 - LR RWD,70
Kia  - Niro - EV,85
Tesla Motors  - Model 3 - SR+ LFP,47
Tesla Motors  - Model 3 - M3LR,29
Tesla Motors  - Model 3 - SR+,84
Tesla Motors  - Model 3 - Model 3 SR+,62
Tesla Motors  - Model 3 - Tyll,79
Tesla Motors  - Model 3 - Model 3 P LR AWD,84
Tesla Motors  - Model 3 - Model 3 LR AWD,85
Tesla Motors  - Model 3 - Model 3 LR AWD 2019,80
Tesla Motors  - Model 3 - Model 3 LR AWD 3,84
Tesla Motors  - Model 3 - LR AWD,85
Tesla Motors  - Model 3 - sr+ 2021(lfp) ,85
Tesla Motors  - Model 3 - LR,0
Renault  - ZOE - New Zoe Intense R135 Z.E. 50,78
Tesla Motors  - Model 3 - LR,79
Tesla Motors  - Model 3 - Long Range,73
Tesla Motors  - Model 3 - Model 3,86
Tesla Motors  - Model 3 - Model 3 SR+,85
Tesla Motors  - Model 3 - LR,85
Tesla Motors  - Model 3 - Grey Panther,86
Tesla Motors  - Model 3 - Model 3 2021 Maximale Reichweite,79
Peugeot  - 208 - e208 Active Pack,70
Tesla Motors  - Model 3 - Long Range,77
Tesla Motors  - Model 3 - SR+,86
Tesla Motors  - Model 3 - Standard Range Plus,73
Tesla Motors  - Model 3 - SR+,86
Tesla Motors  - Model 3 - Model 3 LR DM,86
Renault  - ZOE - R135 Intens,85
Tesla Motors  - Model 3 - Long Range AWD,0
Tesla Motors  - Model 3 - Long Range,89
Tesla Motors  - Model 3 - Performance ,86
Tesla Motors  - Model 3 - Long Range AWD,86
Tesla Motors  - Model 3 - Long range,86
BMW  - i3 - i3 REX,80
Tesla Motors  - Model 3 - SR+ 2022,48
Tesla Motors  - Model 3 - Long Range Performance ,86
Tesla Motors  - Model 3 - Model 3 SR LFP,76
Tesla Motors  - Model 3 - SR mit Freikilomter 10k,81
Tesla Motors  - Model 3 - Performance,87
Tesla Motors  - Model 3 - Model 3 LR,87
Tesla Motors  - Model 3 - LR,86
Tesla Motors  - Model 3 -  Model 3 SR,0
Tesla Motors  - Model 3 - LR RWD,87
Tesla Motors  - Model 3 - Model 3 P AWD,87
Tesla Motors  - Model 3 - Model 3 SR+,29
Tesla Motors  - Model 3 - Long Range AWD,88
Tesla Motors  - Model 3 - Long Range Dual Motor,87
Tesla Motors  - Model 3 - SR+ 2021,76
Tesla Motors  - Model 3 - LR  ,70
Tesla Motors  - Model 3 - SR,87
Tesla Motors  - Model 3 - long range dual motors,73
Tesla Motors  - Model 3 - SR+ Standard Range Plus,88
Tesla Motors  - Model 3 - Long Range,87
Tesla Motors  - Model 3 - SR+,72
Tesla Motors  - Model 3 - Model 3 E6LR RWD LFP ,83
Tesla Motors  - Model 3 - Model 3 LR,88
Nissan  - Leaf - Leaf ZE0,86
Tesla Motors  - Model 3 - SR,69
Tesla Motors  - Model 3 - Model 3,88
Tesla Motors  - Model 3 - Model 3,70
Tesla Motors  - Model 3 - propulsion,72
Tesla Motors  - Model 3 - SR+,55
Tesla Motors  - Model 3 - SR,72
Tesla Motors  - Model 3 - Model 3,88
Tesla Motors  - Model 3 - Model 3 SR+,88
Tesla Motors  - Model 3 - Model 3 RWD,79
Tesla Motors  - Model 3 - Model 3,98
Tesla Motors  - Model 3 - AWD LR,88
Tesla Motors  - Model 3 - Maximale Reichweite,88
Tesla Motors  - Model 3 - Model 3 LR (2022),89
Renault  - ZOE - R135,83
Tesla Motors  - Model 3 - Model 3 SR+,86
Tesla Motors  - Model 3 - Model 3 SR+,89
Kia  - Soul - Soul EV (30kWh),56
Tesla Motors  - Model 3 - LR AWD,89
Tesla Motors  - Model 3 - SR+,87
Tesla Motors  - Model 3 - Longrange,89
Tesla Motors  - Model 3 - Model 3 LR FL,89
Tesla Motors  - Model 3 - Performance,89
Tesla Motors  - Model 3 - Model 3,86
Tesla Motors  - Model 3 - M3LR,89
Tesla Motors  - Model 3 - Model 3 LR AWD,89
Tesla Motors  - Model 3 - LONG RANGE,86
Tesla Motors  - Model 3 - SR+,86
Tesla Motors  - Model 3 - . odel 3 Long Range,0
Tesla Motors  - Model 3 - Model 3 LR,83
Tesla Motors  - Model 3 - Long Range RWD,78
Tesla Motors  - Model 3 - Long Range AWD,89
Tesla Motors  - Model 3 - AWD,83
Tesla Motors  - Model 3 - Long Range,90
Tesla Motors  - Model 3 - M3 SR+,84
Tesla Motors  - Model 3 - Long Range AWD 1,90
Tesla Motors  - Model 3 - Long Range,90
Tesla Motors  - Model 3 - Model 3 LR AWD,90
Tesla Motors  - Model 3 - Model 3 Long Range,90
Tesla Motors  - Model 3 - M3 SR+,90
Tesla Motors  - Model 3 - M3LR,90
Tesla Motors  - Model 3 - SR+,76
Tesla Motors  - Model 3 - M3P,0
Tesla Motors  - Model 3 - SR+,90
Tesla Motors  - Model 3 - Model3,85
Tesla Motors  - Model 3 - Model 3,90
Tesla Motors  - Model 3 - Model 3 propulsion,90
Tesla Motors  - Model 3 - Model 3 LR AWD,90
Tesla Motors  - Model 3 - Model 3 SR+,90
Tesla Motors  - Model 3 - SR+ Standard Range Plus,90
Tesla Motors  - Model 3 - Long Range Dual Motor,89
Tesla Motors  - Model 3 - Model 3 Performance MJ21,0
Tesla Motors  - Model 3 - SR,91
Tesla Motors  - Model 3 - Long Range Dual Motor,91
Mini  - Mini Cooper SE - SE,86
Kia  - Soul - Soul EV ,71
Tesla Motors  - Model 3 - Model 3 LR RWD ,90
Tesla Motors  - Model 3 - Model 3 2022,91
Tesla Motors  - Model 3 - Model 3 Long Range RWD,29
Kia  - Niro - eNiro,89
Tesla Motors  - Model 3 - Model 3,92
Tesla Motors  - Model 3 - Longe Range AWD,72
Tesla Motors  - Model 3 - SR+ 2021,92
Tesla Motors  - Model 3 - LR ,92
Tesla Motors  - Model 3 - Long Range AWD,92
Tesla Motors  - Model 3 -  SR+ standard range plus LFP,85
Tesla Motors  - Model 3 - Standard Range,54
Tesla Motors  - Model 3 - SR+,92
Tesla Motors  - Model 3 - LR AWD,89
Tesla Motors  - Model 3 - SR+,71
Tesla Motors  - Model 3 - Long Range AWD,93
Tesla Motors  - Model 3 - Performance,93
Tesla Motors  - Model 3 - Model 3 SR+,0
Tesla Motors  - Model 3 - Model 3 Performance ,92
Tesla Motors  - Model 3 - LR AWD,93
Kia  - Niro - e-Niro DynamicLine,85
Kia  - Niro - e-Niro Spirit 204 PS,0
Opel  - Corsa - Corsa Edition,87
Opel  - Corsa - corsa e,28
Opel  - Corsa - e-Corsa GSLine,0
Opel  - Corsa - Corsa e,1
Tesla Motors  - Model 3 - Longe Range AWD,92
Tesla Motors  - Model 3 - SR+,90
Tesla Motors  - Model 3 - SR+,94
Tesla Motors  - Model 3 - Model 3 (früher SR+),92
Mini  - Mini Cooper SE - Cooper SE,76
Peugeot  - 208 - e208 GT,0
Tesla Motors  - Model 3 - Performance,16
Fiat  - 500 - 500 E,71
Tesla Motors  - Model 3 - M3LR,70
Tesla Motors  - Model 3 - Propulsion,70
Tesla Motors  - Model 3 - SR+,94
Tesla Motors  - Model 3 - LR AWD,94
Tesla Motors  - Model 3 - ModelIII,72
Tesla Motors  - Model 3 - SR+ 2021 (LFP),74
Tesla Motors  - Model 3 - Long Range,93
Fiat  - 500 - 500e Icon,89
Peugeot  - 208 - 208E,108
Tesla Motors  - Model 3 - Dual Motor Long Range,94
Tesla Motors  - Model 3 - SR+,72
Tesla Motors  - Model 3 - Model 3 SR+,89
Tesla Motors  - Model 3 - LR Dual Motors,94
Tesla Motors  - Model 3 - Standard plus,70
Tesla Motors  - Model 3 - Long Range AWD 2,94
Tesla Motors  - Model 3 - SR+,71
Tesla Motors  - Model 3 - SR (Bruttoverbr.),95
Tesla Motors  - Model 3 - LR AWD,95
Tesla Motors  - Model 3 - SR+,94
Tesla Motors  - Model 3 - LR,95
Tesla Motors  - Model 3 - SR+,0
Tesla Motors  - Model 3 - LR,76
Opel  - Corsa - e-Corsa Ultimate,97
Tesla Motors  - Model 3 - Model 3 Performance,95
Tesla Motors  - Model 3 - La Déesse ,89
Tesla Motors  - Model 3 - Performance,95
Tesla Motors  - Model 3 - Model 3 LR AWD,0
Tesla Motors  - Model 3 - Long  Range,96
Tesla Motors  - Model 3 - Model 3 LR 2021 (MIC),96
Tesla Motors  - Model 3 - Model 3 AWD Long Range,95
Tesla Motors  - Model 3 - Performance,96
Tesla Motors  - Model 3 - Model 3 LR AWD,100
Tesla Motors  - Model 3 - Model 3 Performance ,96
Tesla Motors  - Model 3 - Grande autonomie 2021,95
Tesla Motors  - Model 3 - Model 3 LR,94
Tesla Motors  - Model 3 - LR AWD,96
Tesla Motors  - Model 3 - Performance Gary,96
Tesla Motors  - Model 3 - P 2022,96
Tesla Motors  - Model 3 - lr ,96
Tesla Motors  - Model 3 - Model 3 Performance,0
Tesla Motors  - Model 3 - LR AWD,77
Tesla Motors  - Model 3 - Performance ,96
Tesla Motors  - Model 3 - LR,77
Tesla Motors  - Model 3 - Model 3 Long Range RWD,97
Tesla Motors  - Model 3 - Model 3 Standard Plus,97
Tesla Motors  - Model 3 - Model 3 LR AWD (2021),97
Tesla Motors  - Model 3 - SR+,79
"Tesla Motors  - Model 3 - LR AWD 18""",97
Tesla Motors  - Model 3 - SR ,96
Tesla Motors  - Model 3 - Model 3 Long Range AWD,0
Tesla Motors  - Model 3 - 2022,98
Tesla Motors  - Model 3 - Model 3 2023,97
Tesla Motors  - Model 3 - Long Range,98
Tesla Motors  - Model 3 - Sonic,78
Tesla Motors  - Model 3 - Model 3 Maximale Reichweite,78
Tesla Motors  - Model 3 - Performance,98
Tesla Motors  - Model 3 - Long Range Dual Motor AWD,91
Tesla Motors  - Model 3 - LR,0
Tesla Motors  - Model 3 - Tesla,98
Tesla Motors  - Model 3 - Performance,98
Tesla Motors  - Model 3 - Model 3 LR RWD,98
Tesla Motors  - Model 3 - LR AWD,0
Tesla Motors  - Model 3 - M3,94
Tesla Motors  - Model 3 - Long Range AWD 2019,0
Renault  - ZOE - Zoe Intens R110,68
Tesla Motors  - Model 3 - 3,98
Tesla Motors  - Model 3 - Long Range Performance,98
Peugeot  - 208 - e-208,113
Tesla Motors  - Model 3 - Long Range,98
Tesla Motors  - Model 3 - LongRange,0
Tesla Motors  - Model 3 - 2023 Europa,99
Tesla Motors  - Model 3 - M3 Long Range AWD,99
Tesla Motors  - Model 3 - SR+,0
Tesla Motors  - Model 3 - Model 3 LR,98
Tesla Motors  - Model 3 - Base Performance,0
Tesla Motors  - Model 3 - Long Range,2
Tesla Motors  - Model 3 - Model 3,100
Tesla Motors  - Model 3 - Long Range AWD,100
Tesla Motors  - Model 3 - SR+,75
Tesla Motors  - Model 3 - Model 3 Maximale Reichweite Dualmotor,95
Tesla Motors  - Model 3 - Performance ,100
Tesla Motors  - Model 3 - SR,101
Tesla Motors  - Model 3 - performace,95
Tesla Motors  - Model 3 - model 3,101
Tesla Motors  - Model 3 - Long Range,101
Tesla Motors  - Model 3 - LR  AWD,101
Renault  - ZOE - Intens Z.E.40,75
Tesla Motors  - Model 3 - Standard Range,70
Tesla Motors  - Model 3 - Long Range,98
Tesla Motors  - Model 3 - Model 3 Long Range,0
Tesla Motors  - Model 3 - Long Range AWD,20
Tesla Motors  - Model 3 - Model 3,81
Tesla Motors  - Model 3 - SR+,81
Tesla Motors  - Model 3 - AWD Long Range,0
Opel  - Corsa - edition,93
Tesla Motors  - Model 3 - Model 3 Dual Motor,96
Tesla Motors  - Model 3 - Model 3 Performance,102
Tesla Motors  - Model 3 - Standart Range ,0
Tesla Motors  - Model 3 - Hinterradantrieb,0
Tesla Motors  - Model 3 - Performance,102
Tesla Motors  - Model 3 - SR+,62
Tesla Motors  - Model 3 - SR+ AHK,2
Opel  - Corsa - First Edition,100
Tesla Motors  - Model 3 - LR AWD,98
Tesla Motors  - Model 3 - LR RWD,102
Tesla Motors  - Model 3 - LR-AWD,104
Tesla Motors  - Model 3 - Long Range,102
Tesla Motors  - Model 3 - Model 3 Performance,103
Tesla Motors  - Model 3 - Performance,103
Tesla Motors  - Model 3 - Model 3 Performance,98
Tesla Motors  - Model 3 - 2022 Propulsion,85
Tesla Motors  - Model 3 - SR+,97
Tesla Motors  - Model 3 - Long Range,0
Tesla Motors  - Model 3 - Long Range mit Dualmotor-Allradantrieb,85
Opel  - Corsa - Corsa-e Edition MJ22,94
Tesla Motors  - Model 3 - LR ,22
Tesla Motors  - Model 3 - Model 3 RWD,87
Tesla Motors  - Model 3 - model3 SR+,75
Tesla Motors  - Model 3 - Performace,104
Tesla Motors  - Model 3 - Long Range,15
BMW  - i3 - Stromer,92
Tesla Motors  - Model 3 - SR ,104
Tesla Motors  - Model 3 - Propulsion,86
Tesla Motors  - Model 3 - SR AHK,0
Tesla Motors  - Model 3 - Long Range AWD,104
Tesla Motors  - Model 3 - Long Range,79
Tesla Motors  - Model 3 - RWD,99
Tesla Motors  - Model 3 - SR+,105
Tesla Motors  - Model 3 - Model 3 SR+,105
Tesla Motors  - Model 3 - SR+,27
Tesla Motors  - Model 3 - Long Range,104
Tesla Motors  - Model 3 - Standard Range plus SR+,102
Tesla Motors  - Model 3 - Performance,105
Tesla Motors  - Model 3 - M3P 2021,86
Renault  - ZOE - ZOE,78
Tesla Motors  - Model 3 - Long Range 2021,92
Tesla Motors  - Model 3 - M3,106
Tesla Motors  - Model 3 - Long Range,101
Tesla Motors  - Model 3 - Performance,105
Tesla Motors  - Model 3 - Standard,106
Tesla Motors  - Model 3 - Longe Range,103
Tesla Motors  - Model 3 - Long Range,100
Tesla Motors  - Model 3 - SR+,106
Tesla Motors  - Model 3 - LR AWD,106
Tesla Motors  - Model 3 - Performance,106
Tesla Motors  - Model 3 - Model 3 LR AWD,106
Tesla Motors  - Model 3 - SR+,84
Tesla Motors  - Model 3 - SR+,28
Tesla Motors  - Model 3 - Performance,23
Tesla Motors  - Model 3 - MY21 LR,108
Tesla Motors  - Model 3 - LR AWD,107
Tesla Motors  - Model 3 - M3P,22
Tesla Motors  - Model 3 - Long Range Boost,107
Tesla Motors  - Model 3 - Model 3 Performance,108
Tesla Motors  - Model 3 - SR+,109
Tesla Motors  - Model 3 - M3LR,108
Tesla Motors  - Model 3 - Long Range,105
Tesla Motors  - Model 3 - LR,108
Tesla Motors  - Model 3 - Long Range AWD,87
Tesla Motors  - Model 3 - Model 3 LR Dual,108
Tesla Motors  - Model 3 - Model 3 LR AWD,88
Tesla Motors  - Model 3 - Model 3 SR+ 2021,96
Tesla Motors  - Model 3 - SR+ 60 kWh,100
Tesla Motors  - Model 3 - Standard Range Plus MiC,89
Tesla Motors  - Model 3 - Model 3 Performance,83
Tesla Motors  - Model 3 - LR AWD,89
Tesla Motors  - Model 3 - LR RWD,87
Tesla Motors  - Model 3 - Model 3,87
Tesla Motors  - Model 3 - Model 3 SR+,81
Tesla Motors  - Model 3 - MY 2021,115
Tesla Motors  - Model 3 - Model 3 ,72
Tesla Motors  - Model 3 - Model 3 LongRange,12
Tesla Motors  - Model 3 - 2024 SR+,85
Tesla Motors  - Model 3 - M3 LR AWD,109
Tesla Motors  - Model 3 - SR+,106
Tesla Motors  - Model 3 - LR-AWD,90
Tesla Motors  - Model 3 - Dual Motor LR,100
BMW  - i3 - s,84
Tesla Motors  - Model 3 - Performance,109
Tesla Motors  - Model 3 - Performance,112
Tesla Motors  - Model 3 - Longrange,114
Tesla Motors  - Model 3 - Model 3 Base Performance 2019,108
Tesla Motors  - Model 3 - LR AWD,118
Tesla Motors  - Model 3 - LR AWD,98
Tesla Motors  - Model 3 - SR+,79
Tesla Motors  - Model 3 - Model 3 Long Range 2021,112
Tesla Motors  - Model 3 - Long Range,0
Tesla Motors  - Model 3 - Model 3 SR,98
Tesla Motors  - Model 3 - tesla model 3,102
Tesla Motors  - Model 3 - Model 3 Long Range AWD,120
Tesla Motors  - Model 3 - Dual Motor AWD,105
Tesla Motors  - Model 3 - Model 3 Performance,103
Tesla Motors  - Model 3 - SR,91
Tesla Motors  - Model 3 - Performance,111
Tesla Motors  - Model 3 - SR+,91
Tesla Motors  - Model 3 - AWD Longe Range,79
Tesla Motors  - Model 3 - Performance,126
Tesla Motors  - Model 3 - Performance,125
Tesla Motors  - Model 3 - Dual Motor,79
Tesla Motors  - Model 3 - Enterprise,83
Tesla Motors  - Model 3 - Performance,127
Tesla Motors  - Model 3 - Performance,129
Tesla Motors  - Model 3 - Long Range,78
Tesla Motors  - Model 3 - Performance,113
Tesla Motors  - Model 3 - Performance,131
Tesla Motors  - Model 3 - Model 3 LR (Q2 2021),139
Tesla Motors  - Model 3 - LR AWD,105
Tesla Motors  - Model 3 - Lange Range,91
Tesla Motors  - Model 3 - SR+,47
Tesla Motors  - Model 3 - Speedy,140
Tesla Motors  - Model 3 - Model 3 Performance,28
Tesla Motors  - Model 3 - Jarvis,147
Tesla Motors  - Model 3 - SR+,153
Tesla Motors  - Model 3 - Performance,127
Tesla Motors  - Model 3 - LR AWD+ 2021,0
Tesla Motors  - Model 3 - Performance ,185
Tesla Motors  - Model 3 - Long Range ,238
Cupra  - Born - Born 58 kWh,0
Tesla Motors  - Model 3 - Model 3 LR AWD,105
Cupra  - Born - Born Primeros 3,66
Cupra  - Born - Born,70
Cupra  - Born - 58,68
Tesla Motors  - Model 3 - Performance,84
Tesla Motors  - Model 3 - SR (Nettoverbr.),91
Tesla Motors  - Model 3 - Model 3 Performance,14
Cupra  - Born - E-Boost,73
Tesla Motors  - Model 3 - LR Dual Motor,115
Cupra  - Born - 58 kWh,0
Cupra  - Born - Born (62/58 kWh),82
Cupra  - Born - Born 77 e-boost,81
Cupra  - Born - Born 58 kWh,84
Tesla Motors  - Model 3 - Performance,121
Tesla Motors  - Model 3 - Long Range AWD,109
Tesla Motors  - Model 3 - Dual Motor Long Range,111
Tesla Motors  - Model 3 - Model 3 Performance,116
Tesla Motors  - Model 3 - SR+ MiC,104
Tesla Motors  - Model 3 - M3 SR+,92
Cupra  - Born - 58 kWh,86
Cupra  - Born - Born,85
Cupra  - Born - Born 58 kWh,83
Tesla Motors  - Model 3 - SR+ 2023,68
Tesla Motors  - Model 3 - Long Range,116
Cupra  - Born - 177kW,89
Cupra  - Born - 77 kWh e-Boost,88
Tesla Motors  - Model 3 - Model 3 Long Range Dual Motor,99
Cupra  - Born - Born 58kWh,88
Tesla Motors  - Model 3 - Tesla Model 3 RWD,71
Tesla Motors  - Model 3 - SR+,88
Cupra  - Born - Born ,88
Cupra  - Born - 58 kWh,90
Cupra  - Born - eBoost,91
Cupra  - Born - Born,50
Tesla Motors  - Model 3 - Propulsion,98
Tesla Motors  - Model 3 - 3 LR,88
Cupra  - Born - Born 58 kwh,6
Tesla Motors  - Model 3 - SR+,77
Tesla Motors  - Model 3 - SR+,103
Tesla Motors  - Model 3 - Model 3 Performance,105
Cupra  - Born - Born Mj23 204 PS,91
Cupra  - Born - Born,91
Cupra  - Born - Born,95
Tesla Motors  - Model 3 - SR+,77
Tesla Motors  - Model 3 - SR+,14
Tesla Motors  - Model 3 - Engelchen,120
Tesla Motors  - Model 3 - SR+,6
Cupra  - Born - born,93
Cupra  - Born - 58kWh,93
Tesla Motors  - Model 3 - performance,113
Cupra  - Born - 150 kW / 58 kWh,94
Tesla Motors  - Model 3 - SR+,91
Cupra  - Born - Born 58kWh,93
Tesla Motors  - Model 3 - -,122
Tesla Motors  - Model 3 - Long Range AWD,104
Cupra  - Born - Born,96
Cupra  - Born - Born,0
Tesla Motors  - Model 3 - Performance,123
Cupra  - Born - 150KW,99
Cupra  - Born - Born 58,0
Cupra  - Born - Born,5
Cupra  - Born - 58/62kWh,23
Cupra  - Born - Born,8
Tesla Motors  - Model 3 - Model 3 SR+ 2021,128
Cupra  - Born - 77kwh,0
Cupra  - Born - Born,100
Cupra  - Born - Born,88
Cupra  - Born - 58  kWh,111
Cupra  - Born - Born,0
Tesla Motors  - Model 3 - Model 3 RWD,91
Tesla Motors  - Model 3 - SR+,115
Cupra  - Born - Born,115
Volkswagen  - ID.3 - Family,47
Volkswagen  - ID.3 - xyz,2
Volkswagen  - ID.3 - I. D. 3,52
Tesla Motors  - Model 3 - LR 2023,135
Cupra  - Born - born,95
Cupra  - Born - Born 58,40
Tesla Motors  - Model 3 - Performance,0
Volkswagen  - ID.3 - ID3 Pro S,64
Volkswagen  - ID.3 - pro life,65
Volkswagen  - ID.3 - ID.3,69
Tesla Motors  - Model 3 - Model 3 LR,0
Volkswagen  - ID.3 - ID.3 Pro Tech,0
Volkswagen  - ID.3 - Pro S,69
Volkswagen  - ID.3 - pro,70
Volkswagen  - ID.3 - Pro,70
Volkswagen  - ID.3 - Pure Performance,73
Tesla Motors  - Model 3 - SR+,111
Tesla Motors  - Model 3 - Model 3 SR+,188
Tesla Motors  - Model 3 - SR+,53
Volkswagen  - ID.3 - PRO S,78
Volkswagen  - ID.3 - Pro Performance,0
Volkswagen  - ID.3 - ID 3 ,76
Volkswagen  - ID.3 - 1st Mover Pro Performance Plus,73
Volkswagen  - ID.3 - Pro,74
Volkswagen  - ID.3 - Pro Performance,5
Volkswagen  - ID.3 - Pro S,74
Volkswagen  - ID.3 - ID.3 First Edition Pro Performance,0
Volkswagen  - ID.3 - Pro Performance,76
Volkswagen  - ID.3 - 1st Max,75
Tesla Motors  - Model 3 - SR ohne Freikilometer,81
Volkswagen  - ID.3 - Pro S 77kw,10
Volkswagen  - ID.3 - ID.3 Pro Perfomance,77
Volkswagen  - ID.3 - ID.3 Pro Performance 1st,0
Volkswagen  - ID.3 - Style,64
Cupra  - Born - 58kW,76
Volkswagen  - ID.3 - Pro S,80
Volkswagen  - ID.3 - Pro S,30
Tesla Motors  - Model 3 - Milutin,102
Volkswagen  - ID.3 - Pure,23
Volkswagen  - ID.3 - First Edition ,84
Volkswagen  - ID.3 - ID.3 - Family - Pro 58Kw / 145ch (107Kw),81
Volkswagen  - ID.3 - ID.3 Pro S,81
Volkswagen  - ID.3 - Pro Performance ,82
Volkswagen  - ID.3 - Pro Max,0
Volkswagen  - ID.3 - ID.3 ,82
Cupra  - Born - Born,83
Volkswagen  - ID.3 - ID3 1st Performance,51
Tesla Motors  - Model 3 - SR+,89
Tesla Motors  - Model 3 - M3P,108
Volkswagen  - ID.3 - Business ,0
Volkswagen  - ID.3 - ID3,0
Volkswagen  - ID.3 - Pro Performance,83
Volkswagen  - ID.3 - Id3 pure ,82
Volkswagen  - ID.3 - Pro Performance,83
Volkswagen  - ID.3 - Pure Performance,84
Volkswagen  - ID.3 - ID.3 Pro Performance,0
Volkswagen  - ID.3 - ID3 Family,0
Volkswagen  - ID.3 - ID3ProS,85
Cupra  - Born - Cupra Born,85
Volkswagen  - ID.3 - Pro Performance Max,85
Tesla Motors  - Model 3 - Long Range 82kWh,87
Volkswagen  - ID.3 - ID 3 Pure,0
Volkswagen  - ID.3 - Pro Performance Max,86
Volkswagen  - ID.3 - Pro Life Performance,87
Volkswagen  - ID.3 - Pur Performance ,86
Volkswagen  - ID.3 - Pro Performance Active 150kw,87
Volkswagen  - ID.3 - Familie,87
Volkswagen  - ID.3 - ID.3 Pure Performance,0
Cupra  - Born - 58 e-Boost,90
Volkswagen  - ID.3 - 2,87
Volkswagen  - ID.3 - Pro Performance Tech,88
Volkswagen  - ID.3 - ID3 Pro Performance MAX,90
Volkswagen  - ID.3 - Pro,36
Cupra  - Born - Boost,88
Volkswagen  - ID.3 - ID.3 Max,88
Cupra  - Born - Born 58,0
Volkswagen  - ID.3 - ID.3 Tech,0
Volkswagen  - ID.3 - Tour Pro S,89
Volkswagen  - ID.3 - Pro,89
Volkswagen  - ID.3 - 1st Edition Pro Performance,89
Volkswagen  - ID.3 - PRO,90
Volkswagen  - ID.3 - Pro Performance,89
Volkswagen  - ID.3 - ID.3 Pro S Tour,91
Volkswagen  - ID.3 - Pro Performance Life,90
Volkswagen  - ID.3 - 1st    Max ,90
Volkswagen  - ID.3 - Pro Performance ,91
Volkswagen  - ID.3 - Pro Performance Tech 58KWh,25
